YearsCodePro,ConvertedCompYearly
6.0,239516.0
5.0,60147.0
27.0,170000.0
10.0,89134.0
25.0,413.0
21.0,190000.0
3.0,167554.0
4.0,38604.0
19.0,83777.0
2.0,38666.0
6.0,120000.0
11.0,112101.0
3.0,85000.0
3.0,34609.0
17.0,160000.0
4.0,10000.0
2.0,1500.0
34.0,76307.0
1.0,1889.0
7.0,45655.0
2.0,19333.0
25.0,174000.0
10.0,500000.0
10.0,26852.0
35.0,53703.0
25.0,268515.0
8.0,250.0
12.0,119000.0
24.0,183493.0
5.0,33613.0
15.0,33296.0
30.0,80000.0
18.0,220000.0
30.0,100000.0
7.0,51555.0
3.0,19333.0
9.0,170000.0
8.0,126000.0
9.0,78000.0
7.0,80000.0
9.0,23454.0
18.0,60000.0
5.0,8614.0
15.0,83777.0
20.0,218079.0
14.0,22079.0
17.0,129602.0
23.0,93642.0
7.0,66162.0
10.0,64570.0
18.0,53703.0
11.0,66826.0
10.0,26852.0
12.0,152865.0
10.0,250000.0
9.0,3465.0
7.0,45000.0
5.0,75159.0
7.0,69814.0
20.0,90000.0
7.0,130000.0
2.0,44586.0
10.0,250000.0
7.0,75184.0
10.0,91809.0
7.0,73500.0
7.0,155000.0
14.0,2468.0
8.0,122559.0
22.0,184000.0
23.0,87429.0
5.0,150000.0
9.0,210645.0
28.0,130000.0
7.0,101910.0
12.0,79481.0
2.0,17945.0
6.0,4843.0
6.0,63600.0
21.0,34748.0
15.0,75000.0
6.0,63694.0
8.0,80000.0
1.0,7733.0
13.0,49354.0
19.0,82384.0
19.0,130000.0
23.0,132612.0
5.0,47059.0
8.0,25532.0
20.0,15876.0
3.0,73000.0
21.0,33568.0
3.0,28458.0
34.0,110000.0
32.0,26891.0
10.0,45000.0
14.0,214812.0
26.0,64444.0
12.0,145386.0
12.0,250000.0
10.0,15000.0
21.0,96937.0
7.0,70888.0
13.0,140000.0
6.0,37592.0
17.0,117197.0
22.0,175000.0
3.0,123000.0
36.0,98089.0
25.0,88073.0
22.0,22409.0
21.0,250000.0
9.0,31483.0
8.0,65152.0
40.0,500000.0
6.0,64444.0
8.0,139271.0
4.0,45111.0
6.0,53703.0
18.0,150000.0
10.0,50400.0
6.0,48916.0
22.0,69814.0
10.0,207000.0
4.0,2616.0
14.0,122443.0
10.0,91295.0
16.0,79962.0
7.0,26852.0
2.0,130000.0
3.0,69814.0
10.0,71874.0
6.0,160000.0
4.0,69959.0
2.0,10794.0
2.0,21481.0
8.0,81663.0
19.0,24000.0
12.0,52800.0
18.0,50955.0
4.0,7178.0
6.0,137000.0
27.0,18462.0
10.0,150000.0
13.0,400000.0
7.0,120000.0
7.0,20577.0
22.0,127388.0
4.0,56917.0
4.0,75000.0
8.0,87500.0
7.0,70000.0
28.0,37592.0
17.0,126000.0
13.0,152000.0
12.0,363465.0
1.0,8010.0
5.0,19743.0
22.0,46387.0
6.0,125859.0
1.0,640.0
15.0,66769.0
12.0,77332.0
25.0,135000.0
14.0,105000.0
3.0,37592.0
12.0,165000.0
26.0,116309.0
9.0,13200.0
4.0,50955.0
10.0,17000.0
23.0,165000.0
2.0,125000.0
9.0,200000.0
2.0,1800.0
10.0,130000.0
3.0,102000.0
21.0,53171.0
3.0,65000.0
5.0,44586.0
12.0,192000.0
30.0,254776.0
30.0,96666.0
20.0,16807.0
4.0,69814.0
30.0,100000.0
8.0,9538.0
3.0,67129.0
21.0,163000.0
3.0,53703.0
16.0,30512.0
1.0,127.0
12.0,115999.0
4.0,102907.0
7.0,86401.0
10.0,180000.0
10.0,21481.0
3.0,7200.0
8.0,115000.0
20.0,86309.0
9.0,102036.0
6.0,70000.0
1.0,53703.0
16.0,132.0
32.0,69814.0
5.0,140000.0
5.0,102500.0
11.0,108000.0
15.0,75601.0
4.0,49972.0
8.0,4618.0
16.0,3279.0
36.0,53541.0
11.0,91295.0
11.0,15095.0
23.0,134258.0
15.0,51507.0
6.0,132000.0
9.0,80555.0
25.0,114461.0
16.0,140000.0
13.0,71962.0
7.0,120000.0
3.0,12889.0
12.0,200000.0
4.0,326.0
28.0,107406.0
5.0,200000.0
17.0,93000.0
10.0,155250.0
22.0,118147.0
34.0,95541.0
24.0,109039.0
5.0,102000.0
6.0,107887.0
9.0,73036.0
17.0,150000.0
25.0,205000.0
15.0,165000.0
32.0,101910.0
11.0,81629.0
8.0,74874.0
7.0,107406.0
1.0,15466.0
30.0,120000.0
11.0,64444.0
16.0,4762.0
6.0,53703.0
8.0,91500.0
7.0,140000.0
13.0,97000.0
13.0,29756.0
9.0,135200.0
17.0,85983.0
2.0,35000.0
10.0,59073.0
18.0,44304.0
10.0,214812.0
3.0,53503.0
10.0,107406.0
8.0,23311.0
2.0,144002.0
2.0,38666.0
6.0,3051.0
11.0,110000.0
20.0,71814.0
15.0,96227.0
12.0,140000.0
22.0,107406.0
7.0,119810.0
25.0,190000.0
10.0,95708.0
14.0,128887.0
8.0,40276.0
20.0,57425.0
14.0,50467.0
1.0,3618.0
10.0,77332.0
29.0,160000.0
5.0,81681.0
21.0,53703.0
4.0,80555.0
20.0,250000.0
5.0,161109.0
10.0,47134.0
12.0,133600.0
30.0,301210.0
8.0,69814.0
23.0,240000.0
31.0,150000.0
28.0,107406.0
12.0,103110.0
17.0,93443.0
12.0,138117.0
10.0,95708.0
2.0,88000.0
9.0,53703.0
25.0,144000.0
5.0,29621.0
17.0,79201.0
45.0,93244.0
20.0,64444.0
4.0,120000.0
7.0,42962.0
6.0,70888.0
19.0,158000.0
24.0,107630.0
15.0,18649.0
10.0,130541.0
6.0,85184.0
26.0,72001.0
6.0,145000.0
2.0,149000.0
6.0,90000.0
8.0,50000.0
26.0,57999.0
16.0,27934.0
26.0,180000.0
5.0,72693.0
19.0,176800.0
20.0,200000.0
6.0,89147.0
13.0,60546.0
24.0,128887.0
6.0,49889.0
7.0,120000.0
15.0,85925.0
10.0,51426.0
15.0,270000.0
14.0,107406.0
19.0,175000.0
17.0,71337.0
10.0,250000.0
7.0,70000.0
12.0,37592.0
34.0,59073.0
3.0,115000.0
1.0,1507.0
5.0,48333.0
3.0,2529.0
5.0,18649.0
20.0,53703.0
30.0,59073.0
11.0,118147.0
17.0,77951.0
10.0,107406.0
6.0,75000.0
4.0,109009.0
15.0,60235.0
8.0,600000.0
23.0,170000.0
8.0,11844.0
20.0,27540.0
2.0,80000.0
13.0,100962.0
25.0,91295.0
14.0,207662.0
14.0,66592.0
5.0,59073.0
1.0,21640.0
22.0,220000.0
14.0,35806.0
11.0,357000.0
15.0,92692.0
8.0,300000.0
7.0,70000.0
6.0,51555.0
10.0,214812.0
30.0,182000.0
9.0,143000.0
8.0,66000.0
20.0,210000.0
11.0,41960.0
5.0,111417.0
6.0,135000.0
8.0,83777.0
20.0,64444.0
12.0,34108.0
1.0,12000.0
3.0,47259.0
20.0,107406.0
6.0,38216.0
4.0,5940.0
5.0,83651.0
12.0,114649.0
2.0,30573.0
8.0,140000.0
9.0,75184.0
23.0,69814.0
6.0,245000.0
24.0,75184.0
15.0,50911.0
5.0,43616.0
8.0,32000.0
19.0,86870.0
7.0,140000.0
12.0,98986.0
5.0,67666.0
6.0,80555.0
16.0,59515.0
10.0,86597.0
13.0,25000.0
28.0,236294.0
16.0,75000.0
18.0,61436.0
11.0,88073.0
9.0,74110.0
1.0,78300.0
10.0,74239.0
35.0,150000.0
15.0,62629.0
4.0,64444.0
7.0,56925.0
3.0,3867.0
5.0,165000.0
17.0,180000.0
13.0,150000.0
11.0,4.0
15.0,80953.0
9.0,101910.0
29.0,40000.0
10.0,83000.0
10.0,123517.0
18.0,150369.0
2.0,12029.0
10.0,68740.0
26.0,81123.0
23.0,110000.0
11.0,42564.0
16.0,95541.0
11.0,87231.0
12.0,90221.0
32.0,207000.0
12.0,25777.0
10.0,124127.0
2.0,18000.0
7.0,82703.0
30.0,29000.0
5.0,6798.0
4.0,51935.0
1.0,45111.0
43.0,210000.0
20.0,76000.0
8.0,120000.0
11.0,62296.0
9.0,300000.0
13.0,26320.0
8.0,305000.0
7.0,15500.0
2.0,444.0
44.0,15000.0
7.0,69814.0
15.0,105500.0
35.0,42962.0
7.0,33296.0
12.0,103000.0
16.0,58000.0
2.0,33296.0
6.0,60863.0
5.0,130000.0
13.0,98599.0
8.0,11189.0
38.0,170828.0
10.0,43127.0
24.0,49407.0
8.0,47259.0
23.0,145386.0
3.0,120000.0
13.0,23375.0
23.0,226000.0
14.0,21587.0
3.0,127000.0
10.0,32954.0
4.0,54442.0
14.0,33568.0
12.0,51555.0
2.0,38666.0
10.0,53808.0
15.0,97740.0
8.0,382164.0
10.0,56388.0
10.0,180000.0
12.0,142000.0
19.0,160000.0
10.0,91295.0
5.0,36000.0
15.0,152517.0
28.0,168000.0
9.0,200000.0
16.0,122913.0
3.0,8951.0
8.0,127813.0
24.0,30074.0
10.0,230000.0
20.0,70063.0
12.0,98135.0
25.0,155000.0
37.0,5543.0
5.0,108906.0
6.0,6183.0
5.0,19142.0
13.0,69814.0
30.0,25777.0
10.0,42962.0
28.0,260000.0
2.0,30000.0
3.0,55164.0
8.0,26854.0
11.0,121018.0
1.0,166.0
7.0,42962.0
9.0,95592.0
17.0,85925.0
12.0,25176.0
32.0,235000.0
5.0,48333.0
19.0,33419.0
12.0,46000.0
8.0,41872.0
6.0,45111.0
30.0,62000.0
9.0,16112.0
20.0,79201.0
13.0,294578.0
33.0,130000.0
26.0,64444.0
35.0,104458.0
6.0,97052.0
7.0,110000.0
9.0,53703.0
10.0,36365.0
12.0,15974.0
3.0,56925.0
18.0,230000.0
9.0,65271.0
33.0,144998.0
15.0,842.0
9.0,64444.0
38.0,105706.0
5.0,197000.0
12.0,70000.0
4.0,80000.0
4.0,32222.0
18.0,112777.0
3.0,300000.0
22.0,130000.0
5.0,32222.0
9.0,75184.0
2.0,1061.0
35.0,177069.0
25.0,163000.0
15.0,95541.0
7.0,53205.0
16.0,72499.0
16.0,155000.0
15.0,42640.0
34.0,118147.0
14.0,120330.0
2.0,9714.0
14.0,52840.0
4.0,171850.0
4.0,64341.0
12.0,76433.0
2.0,2073.0
14.0,180000.0
23.0,96666.0
9.0,121429.0
11.0,57325.0
10.0,91295.0
2.0,77000.0
6.0,90866.0
3.0,36779.0
5.0,57144.0
7.0,6367.0
14.0,270000.0
30.0,48333.0
45.0,145000.0
12.0,138216.0
4.0,63370.0
4.0,120000.0
8.0,142614.0
2.0,19747.0
7.0,139628.0
15.0,206000.0
2.0,80000.0
5.0,27231.0
8.0,142000.0
6.0,61866.0
20.0,72000.0
10.0,69814.0
14.0,190000.0
4.0,12889.0
12.0,74239.0
35.0,116309.0
2.0,62706.0
14.0,56710.0
3.0,945000.0
17.0,89172.0
10.0,161905.0
12.0,145000.0
16.0,56925.0
12.0,76307.0
28.0,175000.0
11.0,119221.0
8.0,5576.0
5.0,85925.0
30.0,180000.0
9.0,80555.0
5.0,24684.0
5.0,43000.0
4.0,57325.0
5.0,79189.0
18.0,220000.0
8.0,250000.0
9.0,70000.0
17.0,50885.0
2.0,85000.0
15.0,320000.0
8.0,125000.0
11.0,146381.0
10.0,38666.0
30.0,89108.0
20.0,135000.0
3.0,25193.0
22.0,96666.0
6.0,57230.0
15.0,82802.0
4.0,185000.0
19.0,110000.0
4.0,32222.0
1.0,8400.0
36.0,169000.0
3.0,17772.0
15.0,53703.0
10.0,153000.0
3.0,135000.0
13.0,102036.0
3.0,1975.0
8.0,140000.0
19.0,185000.0
26.0,110000.0
10.0,30525.0
8.0,94501.0
9.0,49622.0
20.0,91295.0
8.0,206000.0
1.0,59073.0
1.0,12373.0
3.0,69121.0
12.0,111417.0
9.0,47952.0
3.0,48333.0
10.0,139628.0
5.0,111417.0
15.0,273884.0
3.0,40383.0
35.0,50000.0
12.0,247156.0
16.0,200000.0
5.0,681.0
28.0,83777.0
6.0,155000.0
1.0,34370.0
15.0,37592.0
20.0,215000.0
5.0,37120.0
15.0,79279.0
18.0,58322.0
25.0,135000.0
3.0,46276.0
13.0,131210.0
27.0,119230.0
4.0,59300.0
21.0,200000.0
14.0,48333.0
18.0,146496.0
6.0,205080.0
4.0,86039.0
16.0,181732.0
12.0,139239.0
8.0,83597.0
31.0,161109.0
9.0,29092.0
26.0,250000.0
26.0,150000.0
2.0,13302.0
10.0,13054.0
28.0,165000.0
10.0,61222.0
35.0,106369.0
17.0,65000.0
10.0,9600.0
30.0,185000.0
8.0,75184.0
19.0,29092.0
5.0,128887.0
25.0,121000.0
10.0,72693.0
6.0,181000.0
8.0,59241.0
17.0,185000.0
3.0,95000.0
16.0,171850.0
10.0,75184.0
8.0,112309.0
5.0,34832.0
8.0,86472.0
6.0,664.0
9.0,48333.0
20.0,134454.0
18.0,53703.0
16.0,95026.0
3.0,592.0
14.0,43435.0
7.0,137353.0
14.0,109670.0
6.0,55438.0
9.0,83777.0
1.0,10741.0
14.0,122000.0
24.0,85925.0
17.0,200000.0
16.0,195000.0
31.0,190000.0
6.0,87231.0
3.0,44544.0
11.0,73937.0
10.0,89412.0
28.0,91295.0
16.0,229000.0
12.0,91570.0
3.0,60147.0
6.0,50000.0
2.0,20450.0
8.0,79894.0
10.0,66242.0
5.0,89147.0
5.0,38140.0
3.0,26.0
4.0,42962.0
30.0,160000.0
8.0,195000.0
17.0,750000.0
25.0,160000.0
8.0,90000.0
25.0,150000.0
9.0,85000.0
17.0,639000.0
10.0,120000.0
9.0,180000.0
5.0,41244.0
3.0,30773.0
13.0,2000000.0
2.0,115000.0
7.0,98000.0
8.0,64629.0
10.0,54902.0
2.0,10741.0
25.0,108002.0
30.0,79201.0
2.0,10741.0
12.0,64444.0
1.0,107440.0
18.0,45284.0
8.0,71765.0
8.0,46185.0
12.0,84000.0
23.0,5184.0
5.0,65000.0
3.0,9589.0
11.0,57325.0
13.0,106000.0
11.0,146496.0
3.0,24000.0
1.0,48407.0
29.0,130000.0
24.0,181.0
3.0,55851.0
28.0,362000.0
3.0,150000.0
48.0,30728.0
25.0,165604.0
30.0,250000.0
3.0,87000.0
4.0,110000.0
1.0,82802.0
5.0,5435.0
4.0,80000.0
16.0,200000.0
4.0,45111.0
8.0,165000.0
7.0,1975.0
25.0,113851.0
25.0,55000.0
3.0,67000.0
1.0,80555.0
16.0,24616.0
8.0,75473.0
14.0,18661.0
9.0,16111.0
2.0,44586.0
38.0,100000.0
8.0,31195.0
6.0,104000.0
5.0,134000.0
4.0,100275.0
27.0,96666.0
9.0,29043.0
10.0,39609.0
1.0,78634.0
5.0,12342.0
6.0,4009.0
18.0,110827.0
7.0,17374.0
4.0,81528.0
4.0,30000.0
16.0,80555.0
3.0,24731.0
2.0,47250.0
22.0,1000000.0
30.0,160000.0
6.0,7360.0
27.0,110622.0
6.0,130000.0
14.0,81737.0
3.0,10368.0
19.0,159924.0
4.0,31687.0
3.0,89172.0
2.0,84000.0
10.0,222000.0
2.0,70063.0
11.0,41192.0
5.0,43127.0
6.0,180000.0
14.0,65000.0
3.0,24202.0
12.0,100000.0
6.0,200000.0
22.0,61222.0
17.0,68192.0
3.0,50955.0
37.0,74000.0
11.0,110827.0
9.0,107406.0
10.0,70000.0
12.0,126000.0
10.0,3456.0
3.0,17227.0
2.0,36000.0
30.0,80000.0
12.0,62763.0
33.0,37120.0
7.0,155000.0
2.0,111702.0
2.0,95000.0
2.0,108074.0
5.0,100000.0
15.0,64801.0
10.0,76465.0
7.0,175000.0
11.0,175000.0
25.0,186000.0
31.0,165000.0
34.0,240000.0
3.0,23697.0
4.0,14360.0
9.0,76328.0
29.0,85886.0
25.0,105000.0
33.0,180000.0
8.0,172000.0
1.0,39947.0
1.0,11064.0
19.0,140000.0
18.0,118919.0
41.0,53452.0
10.0,100000.0
2.0,20000.0
5.0,89189.0
3.0,3456.0
5.0,159500.0
2.0,50000.0
12.0,1572.0
4.0,27973.0
15.0,99099.0
25.0,160000.0
17.0,110974.0
5.0,500000.0
33.0,83919.0
2.0,140000.0
4.0,111417.0
3.0,34770.0
23.0,170000.0
6.0,185000.0
6.0,113834.0
23.0,92492.0
9.0,125525.0
2.0,1333.0
11.0,300000.0
4.0,31822.0
5.0,66000.0
13.0,54000.0
44.0,185000.0
31.0,99099.0
25.0,165165.0
5.0,150000.0
5.0,636440.0
2.0,7178.0
5.0,43883.0
6.0,40406.0
24.0,250000.0
10.0,175000.0
28.0,130000.0
6.0,26406.0
9.0,44757.0
29.0,122402.0
3.0,20475.0
7.0,58154.0
6.0,180000.0
6.0,180000.0
5.0,68400.0
6.0,103063.0
7.0,128000.0
20.0,108906.0
25.0,350000.0
5.0,100000.0
4.0,268515.0
17.0,20354.0
6.0,220000.0
10.0,269000.0
10.0,199703.0
10.0,190000.0
5.0,114649.0
16.0,326000.0
4.0,25458.0
50.0,500000.0
2.0,120000.0
2.0,72693.0
3.0,36518.0
2.0,70000.0
10.0,87231.0
6.0,54504.0
9.0,206220.0
3.0,2000.0
20.0,185000.0
42.0,180000.0
24.0,160000.0
13.0,210000.0
9.0,113334.0
17.0,78325.0
7.0,5815.0
6.0,99099.0
10.0,70000.0
12.0,90000.0
34.0,61098.0
24.0,47854.0
10.0,150000.0
22.0,150000.0
27.0,49044.0
11.0,96000.0
7.0,175000.0
20.0,800000.0
7.0,60000.0
9.0,70008.0
1.0,52853.0
5.0,75976.0
7.0,130000.0
7.0,172000.0
15.0,11189.0
28.0,216559.0
22.0,165000.0
12.0,29909.0
5.0,330000.0
14.0,116000.0
25.0,190000.0
3.0,240000.0
23.0,120000.0
4.0,32576.0
9.0,115000.0
20.0,89189.0
4.0,3987.0
20.0,95708.0
11.0,75184.0
2.0,89000.0
10.0,170000.0
30.0,225400.0
7.0,44542.0
3.0,6230.0
10.0,167194.0
13.0,145652.0
8.0,132132.0
7.0,70000.0
14.0,152000.0
4.0,5581.0
9.0,175000.0
28.0,180000.0
13.0,225000.0
2.0,66066.0
5.0,363465.0
1.0,2647.0
8.0,125000.0
18.0,127288.0
12.0,55000.0
5.0,29092.0
5.0,45000.0
10.0,203000.0
6.0,110000.0
2.0,15892.0
8.0,100000.0
23.0,110000.0
1.0,36000.0
7.0,27078.0
20.0,200000.0
3.0,155000.0
3.0,41392.0
20.0,300000.0
1.0,27000.0
8.0,41392.0
28.0,13181.0
18.0,79279.0
7.0,13000.0
10.0,290772.0
3.0,20607.0
4.0,40000.0
24.0,110000.0
2.0,39947.0
17.0,28011.0
14.0,380000.0
3.0,70000.0
7.0,99099.0
4.0,41392.0
18.0,130000.0
16.0,250000.0
17.0,280000.0
4.0,62000.0
12.0,71781.0
6.0,15074.0
3.0,13427.0
25.0,132132.0
10.0,138739.0
7.0,80000.0
10.0,209000.0
10.0,160000.0
4.0,30549.0
11.0,70082.0
16.0,45000.0
12.0,98862.0
19.0,102427.0
4.0,7178.0
16.0,239887.0
5.0,39640.0
6.0,54835.0
25.0,174766.0
4.0,8974.0
6.0,63997.0
26.0,138000.0
8.0,114855.0
15.0,109039.0
17.0,123360.0
22.0,69369.0
3.0,14720.0
6.0,156000.0
8.0,84000.0
6.0,32696.0
17.0,53703.0
20.0,123543.0
6.0,23582.0
16.0,140000.0
7.0,1795.0
30.0,92369.0
2.0,8000.0
5.0,6798.0
9.0,150000.0
7.0,21189.0
1.0,1933.0
11.0,160000.0
10.0,57334.0
20.0,112457.0
7.0,75976.0
15.0,120000.0
11.0,87231.0
35.0,118147.0
5.0,135000.0
6.0,118147.0
6.0,95955.0
11.0,70000.0
16.0,118147.0
1.0,52853.0
28.0,85000.0
5.0,130000.0
12.0,64444.0
1.0,32222.0
6.0,139900.0
19.0,267515.0
30.0,220000.0
3.0,11320.0
6.0,20000.0
7.0,150000.0
40.0,148000.0
15.0,79786.0
22.0,57134.0
13.0,1728.0
40.0,80555.0
5.0,35890.0
18.0,165165.0
4.0,40000.0
3.0,137500.0
14.0,107406.0
11.0,98736.0
20.0,118919.0
31.0,145345.0
4.0,67500.0
8.0,56465.0
6.0,6321.0
2.0,617.0
20.0,200000.0
2.0,47568.0
3.0,12138.0
20.0,37592.0
5.0,75260.0
3.0,494.0
11.0,244248.0
40.0,140000.0
23.0,99099.0
5.0,59817.0
20.0,128887.0
7.0,35890.0
11.0,51443.0
9.0,166320.0
2.0,16111.0
4.0,35645.0
10.0,26320.0
9.0,166000.0
9.0,23927.0
8.0,38283.0
2.0,1358.0
14.0,79279.0
2.0,8374.0
5.0,21534.0
13.0,96666.0
23.0,70675.0
4.0,42962.0
18.0,123517.0
7.0,62296.0
12.0,70063.0
14.0,77064.0
2.0,5099.0
8.0,3209.0
4.0,6162.0
6.0,45111.0
9.0,10049.0
7.0,60000.0
10.0,38283.0
2.0,12000.0
11.0,47854.0
2.0,5025.0
4.0,19953.0
6.0,118265.0
10.0,92492.0
3.0,467.0
5.0,95040.0
7.0,22731.0
13.0,78407.0
5.0,49407.0
34.0,86093.0
35.0,33879.0
10.0,300000.0
3.0,13160.0
12.0,51507.0
20.0,35000.0
4.0,35653.0
10.0,207642.0
17.0,500000.0
4.0,99099.0
8.0,74239.0
10.0,91250.0
10.0,100962.0
7.0,68789.0
7.0,87000.0
3.0,30000.0
4.0,18544.0
23.0,140000.0
6.0,55278.0
16.0,1302817.0
3.0,6580.0
24.0,60809.0
2.0,5551.0
31.0,79894.0
10.0,114559.0
3.0,72000.0
19.0,74110.0
7.0,35890.0
5.0,30933.0
2.0,1795.0
8.0,60927.0
13.0,148479.0
9.0,35890.0
4.0,286623.0
9.0,7733.0
26.0,57230.0
17.0,8917.0
1.0,1426.0
9.0,181732.0
4.0,39640.0
3.0,32712.0
7.0,19200.0
1.0,19870.0
12.0,3.0
16.0,52461.0
8.0,144842.0
20.0,82703.0
2.0,19333.0
4.0,7256.0
13.0,123732.0
3.0,50773.0
4.0,87231.0
9.0,64444.0
35.0,75184.0
35.0,118147.0
10.0,60781.0
3.0,17817.0
12.0,170000.0
10.0,5307.0
6.0,80855.0
18.0,78431.0
10.0,53703.0
3.0,31822.0
4.0,4307.0
12.0,130305.0
28.0,107406.0
8.0,79617.0
14.0,60000.0
6.0,40000.0
33.0,93443.0
2.0,28059.0
16.0,64444.0
16.0,77332.0
7.0,80000.0
7.0,73036.0
5.0,3629.0
9.0,190000.0
9.0,88862.0
9.0,19142.0
1.0,38154.0
1.0,4034.0
3.0,386662.0
10.0,28712.0
2.0,24144.0
2.0,45033.0
3.0,5742.0
10.0,103110.0
2.0,72001.0
14.0,35890.0
5.0,63526.0
5.0,46185.0
27.0,59073.0
4.0,29000.0
4.0,2685.0
12.0,28712.0
11.0,91295.0
5.0,49407.0
4.0,11405.0
3.0,52411.0
11.0,110380.0
19.0,91295.0
9.0,8614.0
2.0,27926.0
14.0,108280.0
6.0,46185.0
6.0,21481.0
9.0,96666.0
3.0,39640.0
8.0,45111.0
6.0,50051.0
14.0,52166.0
4.0,28211.0
6.0,73036.0
11.0,45714.0
3.0,64444.0
16.0,60000.0
5.0,56072.0
10.0,92653.0
15.0,448958.0
2.0,9571.0
6.0,114649.0
8.0,89281.0
6.0,62930.0
4.0,16111.0
11.0,115800.0
7.0,23927.0
7.0,161109.0
2.0,11108.0
11.0,99581.0
5.0,3727.0
